description,parole_chiave
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED VEH DAMAGE ACCIDENT,failure veh driver stop unattended veh damage accident
EXCEEDING POSTED MAXIMUM SPEED LIMIT 53 MPH IN A POSTED 30 MPH ZONE,exceeding posted maximum speed limit 53 mph posted 30 mph zone
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,driving vehicle highway without current registration plates validation tabs
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
CAUSING STANDING VEH TO OBSTRUCT FREE VEH PASSAGE OF ROADWAY,causing standing veh obstruct free veh passage roadway
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,person driving motor vehicle license suspended tr 17106 26204 26206 27103
FAILURE TO STOP FOR STOPPED SCHOOL VEH OPERATING ALTERNATELY FLASHING RED LIGHTS,failure stop stopped school veh operating alternately flashing red lights
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 27103,driving motor veh lic suspended 27103
DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE,driving vehicle hov lane authorized traffic control device
EXCEEDING POSTED MAXIMUM SPEED LIMIT 56 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 56 mph posted 40 mph zone
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,driving motor vehicle roadway passing vehicle
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,holder learners permit driving wo req supervision
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering intersection flashing red traffic signal without stopping
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,person driving motor vehicle license suspended tr 17106 26204 26206 27103
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
FAILURE OF VEH DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION,failure veh driver involved accident give insurance policy information
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
DRIVING ON HWY WITH OBSTRUCTED WINDSHIELD VIEW,driving hwy obstructed windshield view
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle license suspended 17106 26204 26206 27103
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property revoked license privilege
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE OF INDIVIDUAL DRIVING ON HWY TO HAVE LICWITH HIM,failure individual driving hwy licwith
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,driver turning left fail yield right way vehicle approaching opposite direction
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS COVERS,failure maintain legible registration plate free foreign materials covers
UNSAFE BACKING OF MOTOR VEH,unsafe backing motor veh
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER TR 27103,driving motor veh lic suspended tr 27103
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property revoked license privilege
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106,person driving motor vehicle license suspended 17106
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,person driving motor vehicle license suspended tr 17106 26204 26206 27103
OPER MV WITH OPERATOR NOT RESTRAINED BY SEATBELT,oper mv operator restrained seatbelt
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering intersection flashing red traffic signal without stopping
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
EXCEEDING POSTED MAXIMUM SPEED LIMIT 44 MPH IN A POSTED 35 MPH ZONE,exceeding posted maximum speed limit 44 mph posted 35 mph zone
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle highway
PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEH WITHOUT SEATBELT RESTRAINT,passenger age 16 rear seat motor veh without seatbelt restraint
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED VEHICLE DAMAGE ACCIDENT,failure veh driver stop unattended vehicle damage accident
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,oper motor veh operator restrained seat belt
EXCEEDING POSTED MAXIMUM SPEED LIMIT 62 MPH IN A POSTED 45 MPH ZONE,exceeding posted maximum speed limit 62 mph posted 45 mph zone
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,driving vehicle highway without current registration plates validation tabs
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,driver failure obey designated lane directions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,oper motor veh operator restrained seat belt
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH DURING REG PERIOD,owner failure maintain required security veh reg period
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO INON UNATTENDED DAMAGED VEH PROPERTY,failure motor veh driver furnish written id info inon unattended damaged veh property
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 49 mph posted 30 mph zone
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 49 mph posted 40 mph zone
EXCEEDING MAXIMUM SPEED 46 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 46 mph posted 30 mph zone
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,driving vehicle highway without current registration plates validation tabs
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
DRIVING VEH WHILE IMPAIRED BY ALCOHOL WHILE TRANSPORTING A MINOR,driving veh impaired alcohol transporting minor
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
DRIVER FAIL TO YIELD INTERSECTION RIGHTOFWAY TO PEDESTRIAN AFTER TURN ON RED,driver fail yield intersection rightofway pedestrian turn red
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,reckless driving vehicle wanton willful disregard safety persons property
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING MAXIMUM SPEED 77 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 77 mph posted 55 mph zone
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,driver fail stop steady red arrow signal
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,oper motor veh operator restrained seat belt
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,driver fail stop steady red arrow signal
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE,person driving motor vehicle highway public use property suspended outofstate license
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS COVERS,failure maintain legible registration plate free foreign materials covers
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
KNOWINGLY DRIVING OWNER KNOWINGLY PERMITTING TO BE DRIVEN UNINSURED VEHICLE,knowingly driving owner knowingly permitting driven uninsured vehicle
DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 27103,driving motor veh lic suspended 27103
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph posted 40 mph zone
OPER MV WITH OPERATOR NOT RESTRAINED BY SEATBELT,oper mv operator restrained seatbelt
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,driver entering intersection flashing red traffic signal without stopping
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,holder learners permit driving wo req supervision
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED VEH DAMAGE ACCIDENT,failure veh driver stop unattended veh damage accident
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,person driving motor vehicle license suspended tr 17106 26204 26206 27103
DRIVING VEH WHILE IMPAIRED BY ALCOHOL,driving veh impaired alcohol
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
EXCEEDING POSTED MAXIMUM SPEED LIMIT 39 MPH IN A POSTED 30 MPH ZONE,exceeding posted maximum speed limit 39 mph posted 30 mph zone
FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,failing secure child age 8 child safety seat transporting motor vehicle
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVER FAILING TO MAKE LEFT TURN FROM LEFT TURN LANE,driver failing make left turn left turn lane
EXCEEDING MAXIMUM SPEED 40 MPH IN A POSTED 25 MPH ZONE,exceeding maximum speed 40 mph posted 25 mph zone
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property revoked license privilege
POSSESSING SUSPENDED LIC,possessing suspended lic
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,driver motor vehicle following vehicle closer reasonable prudent
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,failure dr make lane change avail lane immed adj stopped emerg veh
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,failure properly equip locate headlamps motor veh
FAILURE TO STOP AT STOP SIGN,failure stop stop sign
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
VIOLATING LIC RESTRICTION,violating lic restriction
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
EXCEEDING MAXIMUM SPEED 61 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 61 mph posted 40 mph zone
EXCEEDING POSTED MAXIMUM SPEED LIMIT 70 MPH IN A POSTED 50 MPH ZONE,exceeding posted maximum speed limit 70 mph posted 50 mph zone
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
EXCEEDING MAXIMUM SPEED 63 MPH IN A POSTED 45 MPH ZONE,exceeding maximum speed 63 mph posted 45 mph zone
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,failure individual driving highway display license uniformed police demand
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,failure drive vehicle right half roadway required
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,person driving motor vehicle license suspended tr 17106 26204 26206 27103
EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE,exceeding maximum speed 34 mph posted 25 mph zone
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 64 mph posted 55 mph zone
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle license suspended 17106 26204 26206 27103
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
FAILURE YIELD RIGHT OF WAY ON LEFT TURN,failure yield right way left turn
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ,failure display reflect red color light rear lamps reflectors req
FAILURE TO STOP AT STOP SIGN,failure stop stop sign
DRIVER READINGELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,driver readingelectronic msg oper veh travel portion hwy
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE OF DRIVER TO MAKE LANE CHANGE TO AVAILABLELANE NOT IMMED ADJACENT TO STOPPED EMERG VEH,failure driver make lane change availablelane immed adjacent stopped emerg veh
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,driving motor veh without valid medical examiners certificate possession
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 50,driving vehicle excess reasonable prudent speed highway 50
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph posted 40 mph zone
POSSESSING SUSPENDED LIC,possessing suspended lic
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,operating vehicle highway unauthorized window tinting material
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
EXCEEDING MAXIMUM SPEED 53 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 53 mph posted 35 mph zone
EXCEEDING POSTED MAXIMUM SPEED LIMIT 34 MPH IN A POSTED 25 MPH ZONE,exceeding posted maximum speed limit 34 mph posted 25 mph zone
POSSESSING SUSPENDED LIC,possessing suspended lic
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
EXCEEDING POSTED MAXIMUM SPEED LIMIT 54 MPH IN A POSTED 45 MPH ZONE,exceeding posted maximum speed limit 54 mph posted 45 mph zone
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
EXCEEDING POSTED MAXIMUM SPEED LIMIT 44 MPH IN A POSTED 35 MPH ZONE,exceeding posted maximum speed limit 44 mph posted 35 mph zone
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 64 mph posted 55 mph zone
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,driving influence alcohol per se
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
