belts,personal_injury,property_damage,commercial_license,commercial_vehicle,vehicle_type,year,make,model,color,charge,contributed_to_accident,gender,driver_state,dL_state,arrest_type,violation_type
No,No,No,No,No,02 - Automobile,2008.0,CHEV,SW,WHITE,21902a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,LEXS,LX470,SILVER,13409b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,BMW,328I,BLACK,218011,No,M,MD,MD,G - Marked Moving Radar (Stationary),Citation
No,No,No,No,No,02 - Automobile,2013.0,HONDA,ACCORD,WHITE,13411g,Yes,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2000.0,GMC,TK,WHITE,224123b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1999.0,BMW,4S,BLACK,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2003.0,HONDA,CIVIC,RED,219011b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2011.0,HONDA,PILOT,GRAY,218011,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2002.0,HONDA,ACCORD,SILVER,21902a2,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1996.0,TOYOTA,COROLLA,GREEN,21902a1i,Yes,M,MD,WV,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,LEXUS,ES330,BLACK,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,HONDA,FIT,SILVER,16112c,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,1991.0,NISSAN,SENTRA,TAN,16116a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,MERZ,4S,SILVER,20103a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,SAAB,SW,SILVER,214041a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2014.0,HOND,2S,BLUE,21201a1,Yes,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1997.0,HONDA,ACORD,GREEN DK,17107,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1995.0,VOLV,4S,BLUE,21303b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2016.0,HOND,4S,GRAY,16112c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,03 - Station Wagon,2004.0,LINCOLN,LS,BLACK,16303f,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,MERCEDES,4D,YELLOW,16101a,No,M,NV,NV,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,CHEV,4S,SILVER,21604d,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,TOYOTA,COROLLA,RED,16101a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,SCIO,2S IQ,WHITE,2111242d2,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,MERZ,4S,WHITE,21902b1,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,Yes,No,No,02 - Automobile,1997.0,CHEVY,4DR,BLACK,21403c,No,M,MD,MD,L - Motorcycle,Citation
No,No,No,No,No,02 - Automobile,2013.0,BUICK,VERANO,BLACK,16303f,No,F,VA,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,ISUZU,RODEO,RED,16101a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,FORD,EXPLORER,BLACK,21202i1,No,M,DC,DC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,LEXUS,RX300,GREEN,16112c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,NISSAN,ALTIMA,SILVER,13411f,No,F,DC,DC,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2006.0,LINC,4S,SILVER,13401h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,HOND,2S,MULTICOLOR,22406i1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,CHEVROLET,IMPALA,BLACK,224123b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,HONDA,CIVIC,GOLD,16303h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2008.0,INFINITI,M35,SILVER,20105b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1998.0,LEXUS,GS300,BLACK,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2001.0,NISSAN,XTERRA,GRAY,16115g,No,F,MD,NV,A - Marked Patrol,Citation
Yes,No,Yes,No,No,02 - Automobile,2010.0,DODGE,SUV,BLACK,16303h,No,M,MD,XX,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,NISS,SENTRA,RED,219011b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,Yes,No,02 - Automobile,2001.0,HYUN,ACCENT,BLACK,224123b,No,F,MD,CA,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1999.0,HYUN,ELANTRA,WHITE,13411a,No,M,MD,MD,B - Unmarked Patrol,Citation
No,Yes,No,No,No,05 - Light Duty Truck,2003.0,FORD,ECONOLINE,WHITE,21202h1,Yes,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,01 - Motorcycle,2013.0,YAMAHA,M3,BLUE,171042b2,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,ACURA,TL,BLACK,22203b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,NISSAN,ALTIMA,SILVER,13401b1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,TOYOTA,COROLLA,WHITE,211122c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,1991.0,FORD,PICK UP,BLUE,21902b1,Yes,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2010.0,NISSAN,SUV,SILVER,21801b,Yes,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,KIA,4S,RED,16105b2,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,03 - Station Wagon,2012.0,DODGE,4D,SILVER,218011,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,01 - Motorcycle,2015.0,YAM,MC,BLACK,218011,No,M,MD,MD,L - Motorcycle,Citation
No,No,No,No,No,02 - Automobile,2014.0,TOYOTA,COROLLA,BLUE,21202i2,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,NISSAN,ALTIMA,GOLD,13411g,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2016.0,FORD,VAN,WHITE,22226a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,PONTIAC,AZTEC,SILVER,21902a1,No,F,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2003.0,NISS,TK,SILVER,16105b1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1994.0,CHRY,2S CONVERT,WHITE,13409b,No,M,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,NISSAN,ALTIMA,SILVER,13409b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2002.0,FORD,EXPLORER,BLUE DARK,219011a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,TOYOTA,SUV,BLACK,21201a1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,03 - Station Wagon,2008.0,NISSAN,SUV,GRAY,218011,No,M,MD,MD,P - Mounted Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,MERZ,4S,BLACK,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,Yes,No,No,02 - Automobile,2013.0,HONDA,ACCORD,BLUE,21801b,Yes,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,TOYOTA,COROLLA,GRAY,21202h1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,01 - Motorcycle,2005.0,CHRYSLER,300,BLACK,22226a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,CHRY,TOWN COUNTRY,BLUE LIGHT,21309d,No,M,DC,DC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,TOYT,HIGHLANDER,BLACK,224123b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,SUBARU,FORESTER,BLACK,21202h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2018.0,NISS,SUV,BLUE DARK,218011,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,05 - Light Duty Truck,2010.0,HOND,SUV,BROWN,218011,No,F,VA,VA,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2005.0,JEEP,LAREDO,BLUE DARK,16303h,No,M,MD,MD,E - Marked Stationary Radar,Citation
No,No,No,No,No,02 - Automobile,2013.0,TOYOTA,PRIUS,SILVER,218011,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,HONDA,CIVIC,BLUE,13401h,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2008.0,HONDA,CIVIC,SILVER,222011,No,M,MD,XX,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,TOYOTA,CAMRY,SILVER,21707a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,HYUNDAI,ELANTRA,BLACK,219011b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,28 - Other,2000.0,FORD,F150,GREEN,16305a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,PONTIAC,MINIVAN,SILVER,13401h,No,M,MD,XX,A - Marked Patrol,Citation
No,No,No,No,No,03 - Station Wagon,2001.0,JEEP,CHEROKEE,GRAY,22406i1,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2008.0,HOND,4S,GRAY,21902a1ii,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,HONDA,ACCORD,GRAY,16105b1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2008.0,HOND,CIVIC,BLACK,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,HONDA,TK,SILVER,21902a1,No,F,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,TOYOTA,COROLLA,SILVER,219011b,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2006.0,CHEVROLET,IMPALA,GRAY,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2003.0,TOYT,TK,BLUE,2111242d2,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2009.0,TOYOTA,CAMRY,BLACK,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2003.0,TOYOTA,4D,BLACK,222011,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1999.0,FORD,F150,BLUE DARK,21201a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,03 - Station Wagon,2006.0,CHEVROLET,EXPRESS,WHITE,224123b,No,M,MD,MD,L - Motorcycle,Citation
No,No,No,No,No,02 - Automobile,2004.0,HOND,4S,BLACK,13401h,No,F,MD,MD,S - License Plate Recognition,Citation
No,No,No,No,No,02 - Automobile,2015.0,FORD,EDGE,WHITE,21310a,Yes,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,TOYT,VN,SILVER,16115f,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2016.0,SCIO,IA,GRAY,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,08 - Recreational Vehicle,1999.0,HONDA,SW,BLUE,16112c,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,1996.0,TOYOTA,CAMRY,BLACK,113939,No,F,MD,MD,A - Marked Patrol,Citation
Yes,No,Yes,No,No,02 - Automobile,2015.0,DODGE,RAM,BLACK,21902a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1999.0,HONDA,CIVIC,BLACK,21902a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,MERZ,C280,BLACK,16303h,No,F,MD,MD,L - Motorcycle,Citation
No,No,No,No,No,05 - Light Duty Truck,2012.0,DODGE,VN,BLACK,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2013.0,TOYOTA,COROLLA,SILVER,218011,No,M,MD,NJ,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2008.0,MERCEDES,E350 4DR,BLACK,21201a1,No,M,MD,VA,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1999.0,CADI,DEVILLE,GREEN DK,16112c,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,HYUNDAI,ACCENT,WHITE,16105b1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,FORD,CN,RED,13401h,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,JEEP,TK,WHITE,21314b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,HONDA,ODYSSEY,SILVER,21902c1,No,M,MD,MD,A - Marked Patrol,Citation
No,Yes,No,No,No,02 - Automobile,2015.0,MERZ,C300,BLACK,21402a,Yes,F,DC,DC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2008.0,FORD,FUSION,WHITE,16112c,No,M,VA,XX,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,CHEV,TAHOE,RED,21301a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,INFINITI,G37S,BLACK,21204b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,CADI,ESCALADE,WHITE,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,TOYT,4S,BLUE,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2004.0,GMC,TK,BLACK,16112c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,28 - Other,2012.0,TOYOTA,TK,BLACK,218011,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2011.0,NISSAN,ALTIMA,BLUE DARK,21902b1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,TOYOTA,CAMRY,GRAY,16303h,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2009.0,HONDA,ACCORD,GRAY,13401b1,No,M,FL,FL,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2016.0,ACURA,4DR,WHITE,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2015.0,MERCEDES,C63S,BLACK,218011,No,M,MD,XX,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2006.0,TOYOTA,COROLLA,BLACK,21201a1,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,28 - Other,2014.0,TOYOTA,SIENNA,GRAY,2111241b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,GMC,SIERRA,YELLOW,16101a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,FORD,MUSTANG,BLACK,16113h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,INFINITI,4S,SILVER,224123c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,BMW,530I,BLACK,2111242d2,No,F,PA,PA,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,1996.0,BUIC,4S,GRAY,2111242d2,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2009.0,BMW,335,TAN,16303f,No,M,VA,VA,A - Marked Patrol,Citation
Yes,No,No,No,No,03 - Station Wagon,2007.0,HONDA,ODYSSEY,GRAY,218011,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2015.0,SCION,FRS,YELLOW,13411c2,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,FORD,CROWN VIV,BLACK,16101a,No,M,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,1990.0,TOYT,4S,WHITE,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,05 - Light Duty Truck,2007.0,TOYT,4 RUNNER,SILVER,13409b,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2001.0,SAAB,95,BLACK,21902a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,FORD,4DR,WHITE,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2014.0,FORD,ESCORT,WHITE,21201a1,No,M,VA,VA,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,MERCEDESBENZ,C240,SILVER,21310a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,CHEVROLET,4D,SILVER,21204b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,LEXUS,RX350,BLUE DARK,218011,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2004.0,MAZDA,4 DOOR,YELLOW,21707a,No,F,VA,VA,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,FORD,EXPEDITION,GOLD,16301o,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,FORD,FOCUS,BLUE,219011b,No,F,MD,FL,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,CHEVROLET,EXPRESS,WHITE,16101a,No,M,MD,MD,A - Marked Patrol,Citation
No,Yes,No,No,No,05 - Light Duty Truck,2016.0,FREIGHTLINER,TOW TRUCK,WHITE,21801b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,HONDA,CIVIC,SILVER,16112c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,BUIC,TK,WHITE,16101a,No,F,MD,OH,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2007.0,HONDA,FIT,ORANGE,2111242d2,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1998.0,TOTY,COROLLA,GREEN,21902b2,No,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,1998.0,HONDA,ACCORD,GREEN DK,21902b1i,Yes,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,FORD,EXPLORER,RED,17107,No,M,MD,MD,S - License Plate Recognition,Citation
No,No,No,No,No,02 - Automobile,2006.0,SUBARU,IMPREZA,SILVER,21202h1,No,M,NY,NY,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,JEEP,CHEROKEE,GREEN,13409b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1999.0,FORD,MUSTANG,GREEN,21405e1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,HONDA,PILOT,WHITE,13409b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,CHEVY,MALIBU,SILVER,21202h1,No,M,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2009.0,TOYOTA,CORROLA,BLACK,21902b1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,TOYOTA,CAMRY,BLACK,13401h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,CHEVROLET,BLAZER,WHITE,16115g,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,LEXUS,GS 350,GRAY,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2011.0,TOYOTA,CAMRY,TAN,21902a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,TOYOTA,PRIUS,GREEN,16303d,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,HYUNDAI,ELANTRA,SILVER,16303h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,03 - Station Wagon,2009.0,TOYOTA,RAV4,BRONZE,218011,No,F,MD,MD,Q - Marked Laser,Citation
Yes,No,No,No,No,02 - Automobile,1995.0,1995,BUICK,RED,16303d,No,M,MD,MD,E - Marked Stationary Radar,Citation
No,No,No,No,No,05 - Light Duty Truck,2001.0,CHEV,TK,WHITE,2111242d2,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,TOYT,4S,GREEN,218011,No,F,MD,MD,O - Foot Patrol,Citation
No,No,No,No,No,02 - Automobile,1994.0,JEEP,4DOOR,GREEN,224123b,No,F,TX,TX,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,TOYO,PRIUS,GREEN LGT,13401h,No,M,MD,MD,S - License Plate Recognition,Citation
No,No,No,No,No,02 - Automobile,2001.0,INFI,4S,RED,218011,No,F,MD,VA,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2008.0,TOYOTA,CAMRY,GOLD,21801a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,Yes,No,05 - Light Duty Truck,1997.0,FORD,TK,WHITE,218011,No,M,MD,MD,R - Unmarked Laser,Citation
No,No,No,No,No,02 - Automobile,2010.0,NISSAN,ALTIMA,BLUE,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,TOYT,VAN,SILVER,218011,No,F,MD,MD,O - Foot Patrol,Citation
No,No,No,No,No,02 - Automobile,1997.0,HONDA,CIVIC,SILVER,219011b,No,M,VA,XX,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1998.0,FORD,ECONOLINE,WHITE,16101a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2008.0,TOYOTA,COROLLA,SILVER,2111242d2,No,M,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,VOLK,TOUAREG,GRAY,218011,No,M,MD,MD,G - Marked Moving Radar (Stationary),Citation
No,No,No,No,No,05 - Light Duty Truck,2013.0,LAND ROVER,SPORT,BLACK,21201a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,TOYT,CAMRY,SILVER,222011,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2013.0,VOLK,SW,GRAY,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,Yes,No,05 - Light Duty Truck,1999.0,FORD,DS,MAROON,24101b,No,M,MD,MD,A - Marked Patrol,Citation
No,Yes,No,No,No,02 - Automobile,2007.0,FORD,FOCUS,BLUE DARK,21801b,Yes,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,ACURA,TSX,BLACK,219011b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,FORD,4D,WHITE,224123b,No,F,DC,DC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,BMW,TK,BLUE,21502a2,No,F,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,03 - Station Wagon,2007.0,HONDA,CRV,MAROON,20102a2,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,HYUNDAI,ELANTRA 4DR,GOLD,21204b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,CHEVY,CAVALIER,WHITE,21801b,Yes,M,GA,GA,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,CHEV,4S,BLACK,21801a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2005.0,GMC,SUBRAN,BLACK,22406i1,No,M,WV,WV,A - Marked Patrol,Citation
No,No,No,Yes,No,05 - Light Duty Truck,2003.0,CHEVY,TRAILBLAZER,GOLD,16116a,No,M,MD,XX,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2000.0,FORD,E250,WHITE,219011a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,TOYOT,4S,WHITE,16101a,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2012.0,TOYOTA,COROLLA,GREEN,219011b,No,M,MD,XX,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,BMW,330XI,GRAY,13411d,No,M,DC,DC,A - Marked Patrol,Citation
No,No,No,Yes,No,02 - Automobile,2009.0,HONDA,4D,GRAY,2111242d2,No,M,MD,XX,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,BMW,4S,BLACK,21202h1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1993.0,FORD,DS,WHITE,21902a1,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2010.0,LEXS,4S,BLUE DARK,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2003.0,NISSAN,MURANO,SILVER,222011,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,HOND,CIVIC 2D,GREEN,16303h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2006.0,VOLKSWAGON,JETTA,RED,21902a1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2008.0,HONDA,CIVIC,BLUE,16113h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,Yes,No,02 - Automobile,2005.0,FORD,FREESTYLE,TAN,21904b2,No,M,MD,MD,A - Marked Patrol,Citation
