unique_code,keywords,category,belts,personal_injury,property_damage,commercial_license,commercial_vehicle,vehicle_type,year,make,model,color,charge,contributed_to_accident,gender,driver_state,dL_state,arrest_type,violation_type
Code_18693,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2005,TOYT,CAMRY,BLACK,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_991,driving vehicle excess reasonable prudent speed highway 40,exceeding speed,No,No,No,No,No,02 - Automobile,1996,HONDA,2S,ORANGE,21801a,No,M,MD,MD,A - Marked Patrol,0
Code_5326,driving influence alcohol per se,driving alcohol,No,No,No,Yes,No,02 - Automobile,2006,INFI,4S,SILVER,21902a2,No,M,MD,MD,A - Marked Patrol,0
Code_30943,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2005,LEXUS,ES 320,SILVER,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_22731,driving influence alcohol per se,driving alcohol,Yes,No,No,No,No,02 - Automobile,2000,NISS,XTERRA,BLACK,21902a2,No,M,MD,MD,A - Marked Patrol,0
Code_4911,displaying expired registration plate issued state,tag problem,No,No,No,No,No,02 - Automobile,2000,ACURA,INTEGRA,SILVER,13411f,No,M,MD,MD,A - Marked Patrol,0
Code_7628,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2007,FORD,E350,WHITE,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_1575,driving vehicle highway suspended registration,registration problems,No,No,No,No,No,02 - Automobile,2010,VW,VAN,BLACK,13401h,No,M,MD,MD,A - Marked Patrol,0
Code_24728,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2015,HONDA,CIVIC,RED,21201a1,No,M,MD,MD,A - Marked Patrol,0
Code_23599,person driving motor vehicle highway public use property revoked license privilege,license problem,No,No,No,No,No,02 - Automobile,1994,HONDA,ACCORD,WHITE,16303d,No,M,MD,MD,A - Marked Patrol,0
Code_28111,driving vehicle influence alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2007,FORD,TAURUS,SILVER,21902a1,No,M,MD,MD,A - Marked Patrol,0
Code_5134,attempt driver elude uniformed police failing stop,other,No,No,No,No,No,02 - Automobile,2002,CHEVROLET,BLAZER,BLACK,21904b1,No,M,DC,DC,A - Marked Patrol,0
Code_3283,driver failure stop steady circular red signal,stop lights,No,No,No,No,No,02 - Automobile,2012,CHRYSLER,TC,GOLD,21202h1,No,M,MD,MD,B - Unmarked Patrol,0
Code_24941,driving vehicle highway suspended registration,registration problems,No,No,No,No,No,02 - Automobile,2011,CHEV,EXPRESS,WHITE,13401h,No,M,MD,MD,A - Marked Patrol,0
Code_26436,driver failure stop pedestrian crosswalk,sign violation,No,No,No,No,No,02 - Automobile,2012,FORD,WORK VAN,MULTICOLOR,21502a2,No,M,MD,MD,A - Marked Patrol,0
Code_31950,failure control veh speed hwy avoid collision,other,No,No,No,No,No,02 - Automobile,2001,HONDA,ODYSSEY,GRAY,21801b,Yes,M,MD,MD,A - Marked Patrol,0
Code_12959,driving impaired alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2006,HYUN,4S,BLUE,21902b1,No,F,MD,MD,A - Marked Patrol,0
Code_22717,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2007,AUDI,4D,BLACK,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_13081,driving drive motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2000,HYUNDAI,4S,GRAY,16101a,No,M,MD,XX,A - Marked Patrol,0
Code_28948,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2006,TOYOTA,COROLLA,SILVER,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_29471,failure control vehicle speed highway avoid collision,other,No,No,No,No,No,02 - Automobile,2009,TOYOTA,YARIS,BLUE LIGHT,21801b,Yes,F,OH,OH,A - Marked Patrol,0
Code_3492,driving lic susp 16203 16206a2 fail attend dip 17106 26204206 27103,license problem,No,No,No,No,No,02 - Automobile,2001,INFINITY,4S,SILVER,16303h,No,M,MD,MD,A - Marked Patrol,0
Code_524,driving vehicle highway without current registration plates validation tabs,tag problem,No,No,No,No,No,02 - Automobile,1997,TOYOTA,CAMRY,RED,13411d,No,M,MD,MD,A - Marked Patrol,0
Code_11611,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,02 - Automobile,2014,TOYOTA,COROLLA,WHITE,16303c,No,M,MD,MD,A - Marked Patrol,0
Code_13670,driving vehicle highway suspended registration,registration problems,No,No,No,No,No,02 - Automobile,2005,DODG,VN,BLUE,13401h,No,M,MD,NM,A - Marked Patrol,0
Code_3129,exceeding maximum speed 60 mph posted 55 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2010,HONDA,ACCORD,WHITE,218011,No,M,MD,MD,Q - Marked Laser,0
Code_23339,driving vehicle highway suspended registration,registration problems,No,No,No,No,No,28 - Other,2005,CHEVROLET,ASTRO VN,WHITE,13401h,No,M,MD,MD,A - Marked Patrol,0
Code_16697,possessing suspended lic,license problem,No,No,No,No,No,02 - Automobile,2013,MAZDA,CX5,GRAY,16301j,No,F,MD,MD,Q - Marked Laser,0
Code_26829,driving vehicle violation restricted license requirement,license problem,No,No,No,No,No,02 - Automobile,2007,CHEVY,COBALT,SILVER,16113h,No,M,MD,MD,A - Marked Patrol,0
Code_11490,driver using hands use handheld telephone whilemotor vehicle motion,careless driving,No,No,No,No,No,02 - Automobile,2000,HONDA,ACCORD,GREEN DK,2111242d2,No,M,MD,MD,A - Marked Patrol,0
Code_15320,display suspended lic,license problem,No,No,No,No,No,02 - Automobile,2011,HONDA,ACCORD,SILVER,16301e,No,F,MD,MD,S - License Plate Recognition,0
Code_4260,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,1998,TOYOTA,CAMRY,WHITE,21201a1,No,M,MD,MD,A - Marked Patrol,0
Code_27311,driver failure stop stop sign line,sign violation,No,No,No,No,No,01 - Motorcycle,1998,MERZ,4S,WHITE,21707a,No,M,MD,MD,A - Marked Patrol,0
Code_4833,drivingattempting drive motor veh hwy wo req license authorization,license problem,No,No,No,Yes,No,02 - Automobile,2014,KIA,OPTIMA,SILVER,16101a,No,F,MD,NC,A - Marked Patrol,0
Code_29880,person driving motor vehicle license suspended 17106 26204 26206 27103,license problem,No,No,No,No,No,02 - Automobile,1994,BMW,325I,RED,16303h,No,M,MD,MD,A - Marked Patrol,0
Code_16461,driver turning left fail yield right way vehicle approaching opposite direction,careless driving,No,No,No,No,No,02 - Automobile,2000,ISUZU,RODEO,SILVER,21402a,Yes,F,MD,MD,A - Marked Patrol,0
Code_31012,drive motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2008,TOYOTA,SUV,BLACK,16101a,No,M,MD,MD,Q - Marked Laser,0
Code_14008,failure stop stopped school veh operating alternately flashing red lights,sign violation,No,No,No,No,No,02 - Automobile,2009,NISSAN,4D,WHITE,21706a,No,M,DC,DC,A - Marked Patrol,0
Code_15604,failure individual driving highway display license uniformed police demand,license problem,No,No,No,No,No,02 - Automobile,2005,NISS,350Z,YELLOW,16112c,No,M,MD,MD,A - Marked Patrol,0
Code_6611,driver using hands use handheld telephone whilemotor vehicle motion,careless driving,No,No,No,No,No,05 - Light Duty Truck,2007,FORD,TRUCK,WHITE,2111242d2,No,M,MD,MD,A - Marked Patrol,0
Code_10066,exceeding maximum speed 49 mph posted 40 mph zone,exceeding speed,No,No,No,No,No,05 - Light Duty Truck,2004,CHRYSLER,PACIFICA,GRAY,218011,No,F,MD,MD,Q - Marked Laser,0
Code_16286,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2000,NISSAN,MAXIMA,GOLD,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_7352,allowing veh driven hwy suspended registration,registration problems,No,No,No,No,No,02 - Automobile,2009,VOLK,4S,BEIGE,13401i,No,M,MD,MD,A - Marked Patrol,0
Code_16382,holder learners permit driving wo req supervision,other,No,No,No,No,No,02 - Automobile,2004,BUICK,4D,SILVER,16105b1,No,M,MD,MD,A - Marked Patrol,0
Code_31232,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,02 - Automobile,2016,VW,JETTA,WHITE,16303c,No,F,MD,MD,A - Marked Patrol,0
Code_9663,person driving motor vehicle license suspended 17106 26204 26206 27103,license problem,No,No,No,No,No,28 - Other,2004,NISS,TK,GRAY,16303h,No,M,MD,MD,S - License Plate Recognition,0
Code_18599,failure control veh speed hwy avoid collision,other,No,No,No,No,No,05 - Light Duty Truck,2009,CADILLAC,ESCALADE,WHITE,21801b,Yes,M,MD,MD,A - Marked Patrol,0
Code_7901,driving vehicle highway suspended registration,registration problems,No,No,No,No,No,02 - Automobile,2001,TOYOTA,TACOMA,GREEN DK,13401h,No,M,MD,MD,A - Marked Patrol,0
Code_5260,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2006,HOND,4S,SILVER,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_22989,driving vehicle influence alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2000,HONDA,CIVIC,GOLD,21902a1,No,M,MD,MD,A - Marked Patrol,0
Code_7724,driving influence alcohol per se,driving alcohol,No,No,No,No,No,04 - Limousine,2006,HONDA,RIDGELINE,GRAY,21902a2,No,F,MD,MD,A - Marked Patrol,0
Code_220,driving drive motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2008,SCION,2D TC,BLACK,16101a,No,M,MD,MD,A - Marked Patrol,0
Code_31261,reckless driving vehicle wanton willful disregard safety persons property,careless driving,Yes,Yes,No,No,No,02 - Automobile,2007,BUICK,LUCERNE,WHITE,219011a,No,M,MD,MD,A - Marked Patrol,0
Code_6585,driver changing lanes unsafe,careless driving,No,No,Yes,No,No,02 - Automobile,2004,NISSAN,PATHFINDER,MAROON,21309b,Yes,M,MD,MD,A - Marked Patrol,0
Code_1697,driving motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2011,NISSAN,ALTIMA,SILVER,16101a1,No,M,MD,MD,A - Marked Patrol,0
Code_738,operating unregistered motor vehicle highway,registration problems,No,No,No,No,No,02 - Automobile,1997,GEO,PRIZM,GOLD,13401b1,No,F,MD,MD,A - Marked Patrol,0
Code_3847,driving drive motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2002,CHEVY,TK,WHITE,16101a,No,M,MD,MD,A - Marked Patrol,0
Code_3796,driving vehicle influence alcohol,driving alcohol,Yes,No,No,No,No,02 - Automobile,2005,VOLKS,JETTA,GRAY,21902a1,No,M,MD,MD,A - Marked Patrol,0
Code_5321,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,1996,LEXUS,4S,SILVER,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_2944,failure control vehicle speed highway avoid collision,other,No,No,Yes,No,No,02 - Automobile,2004,TOYOTA,CAMRY,GRAY,21801b,No,M,MD,MD,A - Marked Patrol,0
Code_22003,failure properly equip locate headlamps motor veh,problem vehicle light,No,No,No,No,No,02 - Automobile,2002,NISSAN,SENTRA,BLACK,22203b,No,M,MD,MD,A - Marked Patrol,0
Code_21257,failure control vehicle speed highway avoid collision,other,No,No,No,No,No,02 - Automobile,2011,HOND,PILOT,BLACK,21801b,No,F,MD,MD,A - Marked Patrol,0
Code_24500,driving motor vehicle roadway passing vehicle,careless driving,No,No,No,No,No,05 - Light Duty Truck,2007,TOYOTA,SIENNA,BLUE,21304c,No,F,MD,MD,A - Marked Patrol,0
Code_24891,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,02 - Automobile,2011,NISSAN,MAXIMA,WHITE,16303c,No,M,MD,MD,A - Marked Patrol,0
Code_16953,driving drive motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2002,BMW,4S,SILVER,16101a,No,M,PA,PA,A - Marked Patrol,0
Code_11190,driving influence alcohol per se,driving alcohol,No,No,No,No,No,02 - Automobile,2014,ACURA,ILX,BLUE DARK,21902a2,No,M,MD,MD,A - Marked Patrol,0
Code_18007,driving impaired alcohol,driving alcohol,Yes,No,No,No,No,02 - Automobile,2005,CHEV,TRAILBLAZER,BLACK,21902b1,No,M,MD,MD,A - Marked Patrol,0
Code_18374,failure veh driver involved accident give insurance policy information,omission of assistance,No,No,Yes,No,No,02 - Automobile,2015,NISSAN,VERSA,RED,201051,No,M,MD,MD,A - Marked Patrol,0
Code_14971,exceeding posted maximum speed limit 34 mph posted 25 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2014,TOYOTA,COROLLA,GRAY,218011,No,F,MD,MD,Q - Marked Laser,0
Code_6417,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,1999,ACURA,30 CL,TAN,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_5224,exceeding posted maximum speed limit 63 mph posted 40 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2006,TOYOTA,4S,SILVER,218011,No,M,MD,MD,Q - Marked Laser,0
Code_29085,displaying expired registration plate issued state,tag problem,No,No,No,No,No,02 - Automobile,1996,NISSAN,SENTRA,RED,13411f,No,M,MD,MD,A - Marked Patrol,0
Code_16538,failure control vehicle speed highway avoid collision,other,No,Yes,No,No,No,02 - Automobile,2007,FORD,FOCUS,BLUE DARK,21801b,Yes,F,MD,MD,A - Marked Patrol,0
Code_14979,failure control vehicle speed highway avoid collision,other,No,No,Yes,No,No,02 - Automobile,2006,SATURN,ION,GRAY,21801b,Yes,F,MD,MD,A - Marked Patrol,0
Code_26593,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,1991,MAZDA,2S,BLACK,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_6443,failure individual driving highway display license uniformed police demand,license problem,No,No,No,No,No,02 - Automobile,1999,ACUR,35RL,BLACK,16112c,No,M,MD,MD,A - Marked Patrol,0
Code_25806,exceeding maximum speed 53 mph posted 30 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2011,DODGE,CALIBER,BLACK,218011,No,F,MD,MD,Q - Marked Laser,0
Code_9837,person driving motor vehicle highway public use property suspended outofstate license,license problem,No,No,No,No,No,02 - Automobile,2014,KIA,FORTE,BLACK,16303f,No,M,MD,VA,A - Marked Patrol,0
Code_27348,person driving motor vehicle highway public use property suspended license privilege,license problem,Yes,No,No,No,No,02 - Automobile,2007,CHRYSLER,300,SILVER,16303c,No,M,MD,MD,A - Marked Patrol,0
Code_20011,driver changing lanes unsafe,careless driving,No,No,No,No,No,02 - Automobile,1994,HONDA,ACCORD,BLACK,21309b,No,F,DC,DC,A - Marked Patrol,0
Code_10315,driving motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,1995,BUICK,4S,SILVER,16101a,No,M,DC,DC,A - Marked Patrol,0
Code_30719,exceeding maximum speed 49 mph posted 30 mph zone,exceeding speed,Yes,No,No,No,No,02 - Automobile,2011,FORD,TK,RED,218011,No,M,MD,MD,Q - Marked Laser,0
Code_7877,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2004,MAZDA,4S,BLACK,13409b,No,M,MD,MD,B - Unmarked Patrol,0
Code_12374,passenger age 16 rear seat motor veh without seatbelt restraint,belts,No,No,No,No,No,02 - Automobile,2012,KIA,4S,RED,224123c3,No,M,MD,MD,Q - Marked Laser,0
Code_26478,person driving motor vehicle highway public use property revoked license privilege,license problem,No,No,No,No,No,02 - Automobile,2011,CHEV,4S,SILVER,16303d,No,F,MD,MD,A - Marked Patrol,0
Code_23447,abandoning veh public property,other,No,No,No,No,No,02 - Automobile,2010,NISSAN,ALTIMA,BLACK,25202a1,No,F,MD,MD,A - Marked Patrol,0
Code_20209,holder learners permit driving wo req supervision,other,No,No,No,No,No,02 - Automobile,1999,NISSAN,ALTIMA,GRAY,16105b1,No,M,MD,MD,A - Marked Patrol,0
Code_22681,driving impaired alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2001,SUZUKI,ESTEEM,BLUE DARK,21902b1,No,M,MD,MD,A - Marked Patrol,0
Code_24381,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,1992,TOYOTA,CAMRY,BLUE DARK,13409b,No,M,VA,VA,A - Marked Patrol,0
Code_30410,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,05 - Light Duty Truck,1997,INFI,4S,GREEN,16303c,No,M,MD,MD,A - Marked Patrol,0
Code_15780,person driving motor vehicle highway public use property revoked license privilege,license problem,No,No,No,Yes,No,02 - Automobile,2016,HONDA,CIVIC,WHITE,16303d,No,F,MD,MD,A - Marked Patrol,0
Code_16270,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2017,FORD,MUSTANG,GRAY,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_26123,driver changing lanes unsafe,careless driving,No,No,Yes,No,No,02 - Automobile,2008,CHEV,MALIBU,BLUE,21309b,No,F,MD,MD,A - Marked Patrol,0
Code_6075,failure control vehicle speed highway avoid collision,other,No,No,Yes,No,No,05 - Light Duty Truck,1994,GMC,PICKUP,RED,21801b,Yes,M,MD,MD,C - Marked VASCAR,0
Code_5752,person driving motor vehicle license suspended 17106 26204 26206 27103,license problem,No,No,No,No,No,02 - Automobile,1989,CHRYSLER,NEW YORKER,BROWN,16303h,No,M,MD,MD,A - Marked Patrol,0
Code_17003,operator restrained seatbelt,belts,No,No,No,No,No,02 - Automobile,2000,HYUNDAI,ELANTRA,SILVER,224123b,No,F,MD,MD,A - Marked Patrol,0
Code_11079,failure veh driver involved accident give insurance policy information,omission of assistance,No,No,No,Yes,No,02 - Automobile,2002,NISSAN,SENTRA,GREEN,201051,No,M,MD,MD,A - Marked Patrol,0
Code_11913,failure display two lighted front lamps required,problem vehicle light,No,No,No,No,No,02 - Automobile,2003,BMW,4S,SILVER,22226a,No,M,MD,MD,A - Marked Patrol,0
Code_8833,exceeding maximum speed 70 mph posted 35 mph zone,exceeding speed,Yes,No,No,No,No,03 - Station Wagon,2007,BMW,SW,RED,218011,No,M,MD,MD,Q - Marked Laser,0
Code_17774,driver using hands use handheld telephone whilemotor vehicle motion,careless driving,No,No,No,No,No,02 - Automobile,2010,MAZD,4S,GRAY,2111242d2,No,F,MD,MD,A - Marked Patrol,0
Code_14764,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,02 - Automobile,2008,HONDA,ACCORD,BLACK,16303c,No,M,MD,MD,A - Marked Patrol,0
Code_29541,exceeding maximum speed 49 mph posted 40 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2009,BMW,328I,WHITE,218011,No,F,MD,MD,A - Marked Patrol,0
Code_21275,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2006,KIA,SORENTO,GREEN,13409b,No,F,MD,MD,A - Marked Patrol,0
Code_15050,driving vehicle excess reasonable prudent speed highway,exceeding speed,Yes,No,No,No,No,02 - Automobile,2016,SCION,IA,BLUE,21801a,No,M,MD,MD,A - Marked Patrol,0
Code_17518,driver fail stop steady red arrow signal,stop lights,No,No,No,No,No,02 - Automobile,2005,LEXUS,LX470,WHITE,21202h2,No,F,MD,MD,A - Marked Patrol,0
Code_30092,failure individual driving highway display license uniformed police demand,license problem,No,No,No,No,No,02 - Automobile,2014,NISS,4S,BLACK,16112c,No,F,MD,MD,Q - Marked Laser,0
Code_30665,failure stop stopped school veh operating alternately flashing red lights,sign violation,No,No,No,No,No,02 - Automobile,2004,NISSAN,XTERRA,TAN,21706a,No,M,MD,MD,O - Foot Patrol,0
Code_2048,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,05 - Light Duty Truck,2011,TOYT,SU,WHITE,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_24950,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2014,HONDA,CRV,SILVER,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_20518,displaying expired registration plate issued state,tag problem,No,No,No,No,No,02 - Automobile,2001,TOYT,COROLLA,RED,13411f,No,F,DC,DC,A - Marked Patrol,0
Code_16737,negligent driving vehicle careless imprudent manner endangering property life person,careless driving,No,No,No,No,No,02 - Automobile,2000,MERCEDES,E320,BLACK,219011b,No,M,MD,MD,A - Marked Patrol,0
Code_2672,driver using hands use handheld telephone whilemotor vehicle motion,careless driving,Yes,No,No,No,No,02 - Automobile,1996,TOYO,4S,GREEN,2111242d2,No,F,MD,MD,L - Motorcycle,0
Code_11219,failure stop stopped school veh operating alternately flashing red lights,sign violation,No,No,No,No,No,02 - Automobile,2013,NISS,4S,MAROON,21706a,No,F,MD,MD,A - Marked Patrol,0
Code_25856,exceeding maximum speed 49 mph posted 40 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2008,NISSAN,ALTIMA,GRAY,218011,No,F,MD,MD,Q - Marked Laser,0
Code_1467,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2014,TOOTA,COROLLA,BLACK,21201a1,No,M,MD,MD,A - Marked Patrol,0
Code_6678,driving vehicle highway suspended registration,registration problems,No,No,Yes,No,No,02 - Automobile,2009,DODGE,AVENGER,RED,13401h,Yes,M,MD,MD,A - Marked Patrol,0
Code_6932,driver using hands use handheld telephone whilemotor vehicle motion,careless driving,No,No,No,No,No,02 - Automobile,1994,CHEVY GEO,4 DOOR,TAN,2111242d2,No,M,DC,DC,A - Marked Patrol,0
Code_22917,driver failing make left turn left turn lane,careless driving,No,No,No,No,No,02 - Automobile,2002,KIA,SEDONA,BLUE,21309i,No,F,MD,MD,A - Marked Patrol,0
Code_24492,exceeding posted maximum speed limit 51 mph posted 35 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2015,MAZD,M3,GRAY,218011,No,F,MD,MD,I - Marked Moving Radar (Moving),0
Code_7229,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2009,NISSAN,VERSA,WHITE,13409b,No,F,MD,MD,A - Marked Patrol,0
Code_20930,driver motor vehicle following vehicle closer reasonable prudent,careless driving,No,No,No,No,No,02 - Automobile,2002,JEEP,TK,BLUE,21310a,Yes,M,MD,MD,A - Marked Patrol,0
Code_4961,exceeding maximum speed 39 mph posted 30 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2014,HONDA,4S,GRAY,218011,No,M,MD,MD,Q - Marked Laser,0
Code_13412,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2012,AUDI,Q5,BLUE DARK,21201a1,No,M,MD,MD,A - Marked Patrol,0
Code_12073,displaying expired registration plate issued state,tag problem,No,No,No,No,No,02 - Automobile,2011,CHEVROLET,TAHOE,BLACK,13411f,No,F,MD,MD,A - Marked Patrol,0
Code_1371,failure veh hwy display lighted lamps illuminating device unfavorable visibility cond,problem vehicle light,No,No,No,No,No,02 - Automobile,2012,TOYOTA,SIENNA,GRAY,222011,No,M,MD,MD,A - Marked Patrol,0
Code_16971,driver using hands use handheld telephone whilemotor vehicle motion,careless driving,No,No,No,No,No,02 - Automobile,2002,BMW,X5,BLUE DARK,2111242d2,No,M,DC,DC,L - Motorcycle,0
Code_13815,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2008,TOYT,COROLLA,GOLD,13409b,No,F,MD,XX,A - Marked Patrol,0
Code_21770,failure attach vehicle registration plates front rear,tag problem,No,No,No,No,No,02 - Automobile,2005,HONDA,ACCORD,MAROON,13411a,No,M,MD,MD,A - Marked Patrol,0
Code_22530,displaying expired registration plate issued state,tag problem,No,No,No,No,No,02 - Automobile,2014,MERCEDES,ML350,BLACK,13411f,No,M,IL,IL,A - Marked Patrol,0
Code_24043,person driving motor vehicle license suspended 17106 26204 26206 27103,license problem,No,No,No,No,No,02 - Automobile,2006,RANGE ROVER,SPORT,WHITE,16303h,No,M,DC,DC,A - Marked Patrol,0
Code_19698,driving vehicle excess reasonable prudent speed highway,exceeding speed,No,No,No,Yes,No,02 - Automobile,2002,KIA,SPECTRA,RED,21801a,No,M,XX,XX,A - Marked Patrol,0
Code_28890,operating unregistered motor vehicle highway,registration problems,No,No,No,No,No,05 - Light Duty Truck,2000,NISSAN,FRONTIER,SILVER,13401b,No,M,MD,MD,A - Marked Patrol,0
Code_15964,driver failure stop steady circular red signal,stop lights,No,No,No,No,No,02 - Automobile,2011,CHEVROLET,CRUZE,RED,21202h1,No,M,MD,MD,A - Marked Patrol,0
Code_15122,driving motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2016,FORD,SUV,BLACK,16101a,No,F,VA,VA,A - Marked Patrol,0
Code_3994,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2011,HONDA,ACCORD,GRAY,13409b,No,F,MD,MD,A - Marked Patrol,0
Code_10769,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2010,FORD,FOCUS,RED,13409b,No,M,ON,ON,A - Marked Patrol,0
Code_30590,exceeding maximum speed 57 mph posted 45 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2006,DODG,4S,GRAY,218011,No,M,MD,MD,A - Marked Patrol,0
Code_5614,person driving motor vehicle highway public use property revoked license privilege,license problem,No,No,No,No,No,02 - Automobile,1995,JEEP,2D,GREEN,16303d,No,M,MD,MD,A - Marked Patrol,0
Code_7040,person driving motor vehicle highway public use property revoked license privilege,license problem,No,No,No,No,No,02 - Automobile,2009,HONDA,PILOT,GREEN DK,16303d,No,M,MD,MD,A - Marked Patrol,0
Code_13323,failure individual driving highway display license uniformed police demand,license problem,No,No,No,No,No,02 - Automobile,1994,CHEVY,CAPRICE,SILVER,16112c,No,M,MD,MD,A - Marked Patrol,0
Code_5971,failure control vehicle speed highway avoid collision,other,No,No,Yes,No,No,02 - Automobile,2009,DODGE,CALIBER,BLUE,21801b,Yes,M,MD,MD,A - Marked Patrol,0
Code_4419,possessing suspended lic,license problem,No,No,No,No,No,02 - Automobile,2010,HONDA,ACCORD,BLACK,16301j,No,F,MD,MD,A - Marked Patrol,0
Code_17215,person driving motor vehicle highway public use property suspended outofstate license,license problem,No,No,No,No,No,02 - Automobile,1994,TOYOTA,CAMRY,TAN,16303f,No,M,VA,XX,A - Marked Patrol,0
Code_12330,driving hwy obstructed windshield view,window,No,No,No,No,No,02 - Automobile,2001,NISS,ALTIMA,SILVER,211104c,No,M,MD,MD,A - Marked Patrol,0
Code_29599,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,02 - Automobile,2006,HOND,4S,BLUE,16303c,No,M,MD,MD,A - Marked Patrol,0
Code_10489,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,1997,TOYT,TK,SILVER,21201a1,No,M,MD,MD,A - Marked Patrol,0
Code_13814,failure individual driving highway display license uniformed police demand,license problem,No,No,No,No,No,02 - Automobile,2013,BMW,4S,WHITE,16112c,No,F,MD,MD,Q - Marked Laser,0
Code_17715,driver failure stop pedestrian crosswalk,sign violation,No,No,No,No,No,02 - Automobile,2008,NISSAN,ALTIMA,SILVER,21502a2,No,F,MD,MD,B - Unmarked Patrol,0
Code_21777,driver fail make required stop pavement mark,sign violation,No,No,No,No,No,02 - Automobile,2005,INFI,2S,BLACK,21202m,No,M,MD,MD,A - Marked Patrol,0
Code_9557,driving vehicle highway suspended registration,registration problems,No,No,No,No,No,02 - Automobile,2006,SCIO,5D,SILVER,13401h,No,F,MD,MD,A - Marked Patrol,0
