description,parole_chiave
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,turning left fail
FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,child safety seat
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,control vehicle speed
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
EXCEEDING POSTED MAXIMUM SPEED LIMIT 45 MPH IN A POSTED 35 MPH ZONE,exceeding posted maximum speed limit 45 mph
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVER FAILURE TO EXERCISE DUE CARE TO AVOID PEDESTRIAN COLLISION,exercise due care
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,turning left fail
EXCEEDING POSTED MAXIMUM SPEED LIMIT 90 MPH IN A POSTED 55 MPH ZONE,exceeding posted maximum speed limit 90 mph
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,person driving motor vehicle
OPER MV WITH OPERATOR NOT RESTRAINED BY SEATBELT,oper mv
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,tr 17106 26204 26206 27103
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,unauthorized window tinting material
EXCEEDING MAXIMUM SPEED 60 MPH IN A POSTED 45 MPH ZONE,exceeding maximum speed 60 mph
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
FAILURE STOP AND YIELD AT THRU HWY,thru hwy
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,oper motor veh
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,stopped emerg veh
PERSON DRIVING MOTOR VEH ON HWY ON REVOKED LIC AND PRIVILEGE,person driving motor veh
EXCEEDING MAXIMUM SPEED 55 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 55 mph
OPERATING MOTOR VEHICLE WITH FLAT TIRE,operating motor vehicle
KNOWINGLY DRIVING OWNER KNOWINGLY PERMITTING TO BE DRIVEN UNINSURED VEHICLE,knowingly driving owner knowingly permitting
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH,curb upon signal
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG,make lane change
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVING WHILE IMPAIRED BY ALCOHOL,impaired
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,control vehicle speed
DRIVING WHILE IMPAIRED BY ALCOHOL,impaired
DRIVER SPINNING WHEELS,driver spinning wheels
DRIVING WHILE IMPAIRED BY A CONTROLLED DANGEROUS SUBSTANCE,controlled dangerous substance
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,unauthorized window tinting material
EXCEEDING POSTED MAXIMUM SPEED LIMIT 55 MPH IN A POSTED 35 MPH ZONE,exceeding posted maximum speed limit 55 mph
DRIVING ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,tr 17106 26204 26206 27103
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 4535,prudent speed
EXCEEDING MAXIMUM SPEED 50 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 50 mph
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half
DRIVING WHILE LIC SUSP UNDER 16203 16206A2 FAIL TO ATTEND DIP 17106 26204206 27103,attend dip 17106 26204206 27103
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
STOPPING VEH ON HWY OUTSIDE BUSINESS RESIDENTIAL DISTRICT,hwy outside business residential district
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line
DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,expired license
FAILURE TO ATTACH VEH REG PLATES AT FRONT AND REAR,attach veh reg plates
EXCEEDING MAXIMUM SPEED 58 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 58 mph
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle
DRIVINGATTEMPTING DRIVE MOTOR VEH ON HWY WO REQ LICENSE AND AUTHORIZATION,hwy wo req license
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,display lighted lamps illuminating device
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
FAILURE TO STOP WHEN ENTERING HIGHWAY,entering highway
DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100 OF TRAVEL BEFORE TURNING,give turn signal continuously
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,control vehicle speed
FAILURE TO STOP AT STOP SIGN,stop sign
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,control vehicle speed
EXCEEDING MAXIMUM SPEED 65 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 65 mph
FAILURE OF DRIVER TO STAY UPON APPROACH BY POLICE VEH USING SIGNALS,police veh using signals
EXCEEDING SPEED LIMIT IN SCHOOL ZONE WITH FLASHING LIGHTSNOTICE OF DOUBLE FINES 59 MPH IN 40 ZONE,double fines 59 mph
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,tr 17106 26204 26206 27103
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,uniformed police
DRIVING WHILE IMPAIRED BY ALCOHOL,impaired
POSSESSING SUSPENDED LIC,possessing suspended lic
DISPLAY SUSPENDED LIC,display suspended lic
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
RT TURN FROM IMPROPER ROAD POSITION,improper road position
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,learners permit driving wo req supervision
DISPLAY SUSPENDED LIC,display suspended lic
EXCEEDING POSTED MAXIMUM SPEED LIMIT 35 MPH IN A POSTED 25 MPH ZONE,exceeding posted maximum speed limit 35 mph
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106,person driving motor vehicle
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph
DRIVING WRONG WAYONE WAY STREET,driving wrong wayone way street
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle
POSSESSING SUSPENDED LIC,possessing suspended lic
UNSAFE PASSING TO RIGHT OF OVERTAKEN VEH,unsafe passing
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
EXCEEDING MAXIMUM SPEED 59 MPH IN A POSTED 50 MPH ZONE,exceeding maximum speed 59 mph
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,turning left fail
DRIVING WHILE IMPAIRED BY ALCOHOL,impaired
EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE,exceeding maximum speed 34 mph
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle
FAILURE TO STOP FOR STOPPED SCHOOL VEH OPERATING ALTERNATELY FLASHING RED LIGHTS,stopped school veh operating alternately flashing red lights
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life
FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED VEH DAMAGE ACCIDENT,unattended veh damage accident
EXCEEDING MAXIMUM SPEED 60 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 60 mph
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt
EXCEEDING POSTED MAXIMUM SPEED LIMIT 44 MPH IN A POSTED 35 MPH ZONE,exceeding posted maximum speed limit 44 mph
FAILURE TO STOP AT STOP SIGN,stop sign
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING WHILE IMPAIRED BY ALCOHOL,impaired
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,unauthorized window tinting material
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle
DRIVING VEH NOT EQUIPPED WITH AN IGNITION INTERLOCK AS REQUIRED BY PROGRAM,ignition interlock
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle
EXCEEDING POSTED MAXIMUM SPEED LIMIT 53 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 53 mph
ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DEALER USING TEMP REG PLATE ON VEH DEALER OWNS,dealer using temp reg plate
FAILURE OF VEH DRIVER INVOLVED IN ACCIDENT TO GIVE INSURANCE POLICY INFORMATION,give insurance policy information
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,person driving motor vehicle
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle
FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE,child safety seat
ATTEMPT BY DRIVER TO ELUDE POLICE IN OFFICIAL POLICE VEH BY FLEEING ON FOOT,official police veh
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle
DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE,displaying reg plate issued
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE,person driving motor vehicle
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,control vehicle speed
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,steady red arrow signal
DISPLAY SUSPENDED LIC,display suspended lic
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle
EXCEEDING MAXIMUM SPEED 34 MPH IN A POSTED 25 MPH ZONE,exceeding maximum speed 34 mph
EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 64 mph
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,prudent speed
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,address within 30 days
EXCEEDING POSTED MAXIMUM SPEED LIMIT 46 MPH IN A POSTED 30 MPH ZONE,exceeding posted maximum speed limit 46 mph
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
DRIVING WHILE IMPAIRED BY ALCOHOL,impaired
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE,displaying reg plate issued
UNSAFE BACKING OF MOTOR VEH,unsafe backing
DISPLAY SUSPENDED LIC,display suspended lic
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,person driving motor vehicle
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 80MPH,prudent speed
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle
EXCEEDING POSTED MAXIMUM SPEED LIMIT 60 MPH IN A POSTED 35 MPH ZONE,exceeding posted maximum speed limit 60 mph
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE,person driving motor vehicle
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,steady red arrow signal
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph
DRIVING OFF ROADWAY WHILE PASSING VEHICLE,passing vehicle
EXCEEDING MAXIMUM SPEED 60 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 60 mph
EXCEEDING MAXIMUM SPEED 69 MPH IN A POSTED 50 MPH ZONE,exceeding maximum speed 69 mph
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY,prudent speed
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
DRIVING WHILE LIC SUSP UNDER 16203 16206A2 FAIL TO ATTEND DIP 17106 26204206 27103,attend dip 17106 26204206 27103
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,alcohol per se
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,alcohol per se
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,unauthorized display
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,highway without current registration plates
DRIVER FAILURE TO STOP AT STOP SIGN LINE,stop sign line
FAILURE TO STOP FOR STOPPED SCHOOL VEH OPERATING ALTERNATELY FLASHING RED LIGHTS,stopped school veh operating alternately flashing red lights
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,imprudent manner endangering property life
EXCEEDING POSTED MAXIMUM SPEED LIMIT 90 MPH IN A POSTED 55 MPH ZONE,exceeding posted maximum speed limit 90 mph
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
POSSESSING SUSPENDED LIC,possessing suspended lic
DRIVING VEHICLE ON HIGHWAY ON EXPIRED LICENSE,expired license
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,flashing red traffic signal stop line
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,driver failure
FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED VEH PROPERTY DAMAGE ACCIDENT,unattended veh property damage accident
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,control vehicle speed
FAILURE TO STOP AT STOP SIGN,stop sign
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,use handheld telephone whilemotor vehicle
HOLDER OF LEARNERS PERMIT DRIVING WITH UN AUTHORIZED PERSON OCCUPYING FRONT SEAT,un authorized person occupying front seat
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING VEH IN RACE SPEED CONTEST ON HWY,race speed contest
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
FALSIFYINGATTEMPT FALSIFY WITH FRAUDULENT INTENT OFFICIAL DOCUMENTPLATE ISSUED BY AD,fraudulent intent official documentplate issued
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph
OPERATOR NOT RESTRAINED BY SEATBELT,seatbelt
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,unauthorized window tinting material
UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE,unauthorized display
KNOWINGLY PERMITTING VEH UNDER PERSONS CONTROL TO BE DRIVEN ON HWY BY UNAUTHORIZED PERSON,knowingly permitting veh
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
DRIVING ON HWY WITH OBSTRUCTED WINDSHIELD VIEW,obstructed windshield view
HEADLIGHT INOPERATIVE,headlight inoperative
FAILURE OF INDIVIDUAL DRIVING ON HWY TO HAVE LICWITH HIM,individual driving
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,learners permit driving wo req supervision
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,stopped emerg veh
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,suspended registration
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,highway without required license
FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEHDAMAGE,accidentinvolving attended vehdamage
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,control vehicle speed
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph
FAILURE TO STOP AT STOP SIGN,stop sign
DISPLAYING EXPIRED REGISTRATION PLATES ISSUED BY ANY STATE,displaying expired registration plates issued
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,obey properly placed traffic control device instructions
PERSON DRIVING REG MOTOR VEH ON HWY WO REQUIRED SAFETY GLASS EQUIPMENT,hwy wo required safety glass equipment
EXCEEDING POSTED MAXIMUM SPEED LIMIT 39 MPH IN A POSTED 30 MPH ZONE,exceeding posted maximum speed limit 39 mph
FAILURE TO STOP WHEN ENTERING HIGHWAY,entering highway
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,maintain legible registration plate free
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,display registration card upon demand
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle
FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH,curb upon signal
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,right half
