,0
305,EXCEEDING MAXIMUM SPEED 68 MPH IN A POSTED 50 MPH ZONE
306,DRIVING VEH ON HWY WITH EXCESSIVE WEIGHT EXCEED 15000LBS BY 3400LBS
307,EXCEEDING MAXIMUM SPEED 65 MPH IN A POSTED 50 MPH ZONE
308,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 40 MPH IN 30 MPH ZONE
309,FAIL OF VEH DRIVER IN ATTEND VEH ACCIDENT TO EXHIBIT LIC TO PO
310,DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALKNOT CONTRIBUTING TO ACCIDENT
311,VEH HWY OPERATION WITH INADEQUATE REAR RED LIGHT REFLECTOR
312,EXCEEDING SPEED LIMIT IN SCHOOL ZONE WITH FLASHING LIGHTSNOTICE OF DOUBLE FINES 46 MPH IN 30 ZONE
313,EXCEEDING POSTED MAXIMUM SPEED LIMIT 45 MPH IN A POSTED 30 MPH ZONE
314,ATTACHING UNAUTHORIZED VEH REG PLATE WITH INTENTTO MISREPRESENT VEH OWNER
315,FAILURE MOTOR VEH DRIVER TO FURNISH WRITTEN ID INFO INON UNATTENDED DAMAGED PROPERTY
316,DRIVING ATTEMPTING TO DRIVE VEH WHILE SO FAR IMPAIRED BY DRUGS CANNOT DRIVE SAFELY
317,OBSURING VEHICLE REGISTRATION PLATE WINTENT TO AVOID ID
318,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 50
319,DRIVER MAKING PROHIBITED UTURN ON CREST OF GRADE
320,ATTEMPT BY DRIVER TO ELUDE UNIFORMED POLICE BY FAILING TO STOP
321,ENDANGERING HEALTH SAFETY WELFARE OF DOG BY LEAVING DOG UNATTENDED IN MOTOR VEHICLE
322,FAIL OF DRIVER IN ATTEND VEH ACCIDENT TO FURNISH REQ ID LIC
323,DRIVING ON LEFT SIDE OF ROADWAY IN POSTED NO PASSING ZONE MARKED BY PAVEMENT STRIPING
324,EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 30 MPH ZONE
325,FAILURE NOTIFY ADM ADDRESS CHANGE
326,DRIVER MAKING IMPROPER LEFT TURN AT RED SIGNAL
327,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 26204
328,OWNER KNOWINGLY PERMITTING MOTOR VEH TO BE DRIVEN ON HWY BY UNAUTHORIZED PERSON
329,FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED VEH PROPERTY DAMAGE ACCIDENT
330,DRIVE ACROSS PRIVATE PROPERTY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE
331,EXCEEDING MAXIMUM SPEED 62 MPH IN A POSTED 45 MPH ZONE
332,PERSON KNOWINGLY MAKING FALSE VEH THEFT REPORT TO POLICE
333,POSSESSING FRAUDULENTLY ALTERED LIC
334,DRIVING VEH ON HWY WITH REVOKED REGISTRATION
335,EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 40 MPH ZONE
336,DRIVINGATTEMPTING DRIVE MOTOR VEH ON HWY WO REQ LICENSE AND AUTHORIZATION
337,FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED VEH DAMAGE ACCIDENT
338,EXCEEDING POSTED MAXIMUM SPEED LIMIT 34 MPH IN A POSTED 25 MPH ZONE
339,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 27103
340,EXCEEDING POSTED MAXIMUM SPEED LIMIT 48 MPH IN A POSTED 30 MPH ZONE
341,EXCEEDING POSTED MAXIMUM SPEED LIMIT 62 MPH IN A POSTED 40 MPH ZONE
342,USE OF SPECIAL REG PLATE ON UNAUTHORIZED VEH
343,OPERATING VEH WITH TEMPORARY PARKING PLACARD HANGING FROM INSIDE REARVIEW MIRROR
344,DRIVER FAILURE TO YIELD RIGHT OF WAY CROSSING HWY FROM PRIVATE DRIVEWAY
345,MOTOR VEH EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM
346,OBSCURINGMODIFYING VEHICLE REGISTRATION PLATE WINTENT TO AVOID ID
347,VEH OWNER KNOWINGLY PERMITTING UNLAWFUL HWY VEH OPERATION
348,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATIO
349,AGGRESSIVE DRIVING
350,ATTEMPT BY DRIVER TO ELUDE UNIFORMED POLICE BY FLEEING ON FOOT
351,EXCEEDING MAXIMUM SPEED 76 MPH IN A POSTED 55 MPH ZONE
352,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 75 MPH
353,DOING FORBIDDEN ACT PERTAINING TO DRIVERS LIC
354,UNAUTHORIZED DISPLAY AND USE OF REG PLATE
355,DRIVING WHILE IMPAIRED BY A CONTROLLED DANGEROUS SUBSTANCE
356,DRIVING VEH WHILE SO FAR IMPAIRED BY DRUGS DRUGS AND ALCOHOL CANNOT DRIVE SAFELY
357,DRIVING MOTOR VEH ON HWY WEARING HEADSET OVER EARS
358,EXCEEDING MAXIMUM SPEED 59 MPH IN A POSTED 35 MPH ZONE
359,EXCEEDING POSTED MAXIMUM SPEED LIMIT 70 MPH IN A POSTED 35 MPH ZONE
360,EXCEEDING MAXIMUM SPEED 43 MPH IN A POSTED 25 MPH ZONE
361,EXCEEDING POSTED MAXIMUM SPEED LIMIT 74 MPH IN A POSTED 55 MPH ZONE
362,EXCEEDING MAXIMUM SPEED 57 MPH IN A POSTED 35 MPH ZONE
363,EXCEEDING MAXIMUM SPEED 58 MPH IN A POSTED 45 MPH ZONE
364,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED
365,PROVISIONAL DRIVER UNDER 18 DRIVING MV WPASSENGER UNDER 18
366,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 17106
367,EXCEEDING MAXIMUM SPEED 73 MPH IN A POSTED 40 MPH ZONE
368,PARKING VEH IN FRONT OF PUBLIC DRIVEWAY
369,EXCEEDING POSTED MAXIMUM SPEED LIMIT 80 MPH IN A POSTED 55 MPH ZONE
370,DRIVING ON MEDIAN STRIP ON DIVIDED HWY
371,EXCEEDING MAXIMUM SPEED 85 MPH IN A POSTED 55 MPH ZONE
372,EXCEEDING POSTED MAXIMUM SPEED LIMIT 72 MPH IN A POSTED 50 MPH ZONE
373,FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEHPROPERY OF DAMAGE
374,EXCEEDING POSTED MAXIMUM SPEED LIMIT 92 MPH IN A POSTED 55 MPH ZONE
375,DRIVER WRITINGSENDINGREADING A TEXTELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
376,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAYPEED
377,EXCEEDING MAXIMUM SPEED 47 MPH IN A POSTED 35 MPH ZONE
378,EXCEEDING MAXIMUM SPEED 75 MPH IN A POSTED 45 MPH ZONE
379,FAIL VEH DRIVER IN ACCTO RPT PROP DAMAGE TO NEAREST POLICE
380,KNOWINGLY GIVING FALSE ACCIDENT REPORT INFORMATION
381,NEGLIGENT DRIVING
382,EXCEEDING MAXIMUM SPEED 40 MPH IN A POSTED 25 MPH ZONE
383,FAIL OF DRIVER IN ATTEND VEHATTENDED PROPERTY ACCIDENT TO FURNISH REQ ID LIC
384,DRIVER FAIL TO YIELD INTERSECTION RIGHTOFWAY TO PEDESTRIAN VEH BICYCLE AFTER TURN ON RED
385,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 58
386,PARKING VEH WHERE PROHIBITED BY OFFICIAL SIGN
387,EXCEEDING MAXIMUM SPEED 60 MPH IN A POSTED 40 MPH ZONE
388,EXCEEDING POSTED MAXIMUM SPEED LIMIT 54 MPH IN A POSTED 40 MPH ZONE
389,EXCEEDING MAXIMUM SPEED 35 MPH IN A POSTED 25 MPH ZONE
390,DRIVING VEH WHILE IMPAIREDBY ALCOHOL
391,FAIL TO DISPLAY REG CARD ON DEMAND
392,FAILURE STOP AND YIELD AT THRU HWY
393,ATTEMPT BY DRIVER TO ELUDE UNIFORMED POLICE BY MEANS OTHER THAN FAIL TO STOP AND FLEEING ON FOOT
394,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 OR 27103
395,OWNER OF MOTOR SCOOTER FAILURE TO DISPLAYDECAL ON VEHICLE AS PRESCRIBED BY MVA
396,EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 35 MPH ZONE
397,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER17106 26204 26206 27103
398,EXCEEDING MAXIMUM SPEED 52 MPH IN A POSTED 35 MPH ZONE
399,PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEHICLE WO SEAT BELT RESTRAIT
400,STANDING PARKING VEH WITHIN 20 FEET OF CROSSWALK
401,EXCEEDING MAXIMUM SPEED 69 MPH IN A POSTED 60 MPH ZONE
402,DISPLAYING PERMITTING TO BE DISPLAYED REG PLATE ISSUED FOR OTHER VEHICLE TO OTHER PERSON
403,PARKING VEH ON PRIVATE PROPERTY WO PERMISSION
404,DRIVER PASSING VEH STOPPED FOR PEDESTRIAN AT CROSSWALK
405,FAILURE TO EQUIP MOTOR VEH WITH ADEQUATE VISION REAR VIEW MIRROR
406,DRIVING MOTOR VEH ON HWY WEARING EARPLUGS IN BOTH EARS
407,EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 40 MPH ZONE
408,WILLFULLY DISOBEYING LAWFUL ORDER AND DIRECTION OF POLICE OFFICER
409,OPERATING MV WITH DISABILITY REG PLATES IF NOT DISABLED
410,POSSESSING REVOKED LIC
411,FAIL OF DRIVER IN BODILY INJURYDEATHATTEND VEHATTENDED PROPERTY ACCIDENT TO FURNISH REQ ID LIC
412,PROHIBITED DRIVING IN CENTER LANE
413,DRIVER READING AN ELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
414,EXCEEDING MAXIMUM SPEED 50 MPH IN A POSTED 45 MPH ZONE
415,EXCEEDING POSTED MAXIMUM SPEED LIMIT 30 MPH IN A POSTED 25 MPH ZONE
416,FAILURE OF DR TO YIELD TO ANY VEHICLE IN INTERSECTION WNONFUNCTIONING TRAFFIC SIGNAL
417,EXCEEDING POSTED MAXIMUM SPEED LIMIT 90 MPH IN A POSTED 55 MPH ZONE
418,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER TR 17106
419,EXCEEDING MAXIMUM SPEED 71 MPH IN A POSTED 45 MPH ZONE
420,DRIVER PASS EMERGENCY VEH IN PROCESS OF PARKINGBACKING WI100 OF FIRERESCUE STATION ENTRANCE RAMP
421,DRIVING VEH WHILE SO FAR IMPAIRED BY ALCOHOL CANNOT DRIVE SAFELY
422,EXCEEDING MAXIMUM SPEED 56 MPH IN A POSTED 35 MPH ZONE
423,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER
424,DRIVING VEH ON SIDEWALK AND SIDEWALK AREA WHERE PROHIBITED
425,EXCEEDING MAXIMUM SPEED 53 MPH IN A POSTED 30 MPH ZONE
426,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 27103
427,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106
428,EXCEEDING MAXIMUM SPEED 77 MPH IN A POSTED 55 MPH ZONE
429,EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 40 MPH ZONE
430,EXCEEDING POSTED MAXIMUM SPEED LIMIT 47 MPH IN A POSTED 30 MPH ZONE
431,EXCEEDING MAXIMUM SPEED 52 MPH IN A POSTED 30 MPH ZONE
432,DRIVER READING AT ELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
433,DRIVER FAILURE TO AVOID PROJECTING GLARING LIGHT WITHIN 500 FEET OF APPROACHING VEH DRIVER
434,EXCEEDING MAXIMUM SPEED 82 MPH IN A POSTED 55 MPH ZONE
435,FAILURE OF VEH DRIVER TO FURNISH REQD WRITTEN ID INFO ON UNATTENEDED DAMAGED PROPERTY
436,FAIL VEH DRIVER IN ACCTO RPTBODILY INJ DEATHATTENDED VEH DAMAGEPROP DAMAGETO NEAREST POLICE
437,DRIVING A RENTED MOTOR VEHICLE IN VIOLATION OF RENTAL AGREEMENT
438,DRIVING VEH IN RACE SPEED CONTEST ON HWYUSED BY PUBLIC
439,EXCEEDING MAXIMUM SPEED 60 MPH IN A POSTED 55 MPH ZONE
440,OPERATING MOTOR VEHICLE WITH EXTENDED LOAD WITHOUT FLAGS
441,ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
442,EXCEEDING POSTED MAXIMUM SPEED LIMIT 70 MPH IN A POSTED 60 MPH ZONE
443,EXCEEDING POSTED MAXIMUM SPEED LIMIT 62 MPH IN A POSTED 50 MPH ZONE
444,DRIVER FAILURE TO GIVE REQUIRED SIGNAL OF INTENTION TO TURN
445,PARKING VEH ON SIDEWALK
446,EXCEEDING MAXIMUM SPEED 48 MPH IN A POSTED 35 MPH ZONE
447,HOLDER OF NONCOMMERCIAL CLASS C DR LIC DRIVE ON HWY MV OF THE TYPE NOT AUTH BY LIC
448,EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 30 MPH ZONE
449,DRIVING MOTOR VEH WITH OBSTRUCTED WINDSHIELD
450,EXCEEDING POSTED MAXIMUM SPEED LIMIT 83 MPH IN A POSTED 40 MPH ZONE
451,DRIVER OPERATE COMMERCIAL MV WHEN DRIVER IS DISQUALIFIED
452,FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED VEH OF DAMAGE
453,DRIVING WHILE SUSP UNDER 16203
454,PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEHICLE WO SEAT BELT RESTRAINT
455,STOPPING PARKING LEAVING STANDING VEH ON HWY OUTSIDE BUSINESS RESIDENTIAL DISTRICT
456,EXCEEDING POSTED MAXIMUM SPEED LIMIT 51 MPH IN A POSTED 30 MPH ZONE
457,DRIVER FAILURE TO OBEY TRAFFIC DEVICE ON MAKING TURN
458,DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING HWY FROM PRIVATE ROAD
459,PERSON DRIVING MOTOR VEH ON HWY ON REVOKED OUT OF STATE LIC
460,EXCEEDING MAXIMUM SPEED 93 MPH IN A POSTED 55 MPH ZONE
461,FAILURE TO EQUIP MOTORCYCLE WITH TWO REAR VIEW MIRRORS
462,FAILURE TO STOP AT STOP SIGN AT NEAREST POINT OF APPROACHING TRAFFIC VIEW
463,EXCEEDING MAXIMUM SPEED 51 MPH IN A POSTED 30 MPH ZONE
464,DISPLAYING SUSPENDED LICENSE
465,EXCEEDING MAXIMUM SPEED 53 MPH IN A POSTED 40 MPH ZONE
466,DRIVER FAIL TO STOP AT STEADY CIRCULAR RED SIGNAL
467,OWNER OF MOPED FAILURE TO DISPLAYDECAL ON VEHICLE AS PRESCRIBED BY MVA
468,PERSON DRIVING MOTOR VEH ON HWY ON REVOKED LIC AND PRIVILEGE
469,PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WO SEAT BELT RESTRAINT
470,DRIVER FAILURE TO ENTER LAWFUL LANE AFTER LEFT TURN
471,ALLOWING VEH TO BE DRIVEN ON HWY WITH CANCELLED REGISTRATION
472,HOLDER OF PROV LIC 18 YEARSOR OLDER USE HANDHELD PHONE WHILE OPERATING MV
473,INSTALLING WINDOW TINTING MATERIAL NOT IN COMPLIANCE WITH REQUIREMENTS
474,DRIVING WITHOUT A LICENSE
475,DRIVING VEH IN SPEED CONTEST ON HWY
476,DISPLAYING REG PLATE ISSUED TO OTHER PERSON
477,DRIVING UNDER INFLUENCE OF ALCOHOL PER SE
478,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 9855
479,EXCEEDING MAXIMUM SPEED 105 MPH IN A POSTED 50 MPH ZONE
480,DRIVING VEH WHILE IMPAIRED BY ALCOHOL WHILE TRANSPORTING A MINOR
481,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEH DAMAGE
482,EXCEEDING MAXIMUM SPEED 61 MPH IN A POSTED 45 MPH ZONE
483,DRIVING UNREGISTERED TRAILER ON HIGHWAY
484,FAIL OF VEH DRIVER IN ATTEND VEH DAMAGE ACCIDENT TO EXHIBIT LIC TO PO
485,DRIVING UNREGISTERED MOTOR VEHICLE ON HIGHWAY
486,OPERATOR FAILED TO PROPERLY USE SEAT BELT
487,EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 35 MPH ZONE
488,DRIVER READING A TEXT MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
489,EXCEEDING POSTED MAXIMUM SPEED LIMIT 48 MPH IN A POSTED 25 MPH ZONE
490,EXCEEDING MAXIMUM SPEED 30 MPH IN A POSTED 25 MPH ZONE
491,EXCEEDING MAXIMUM SPEED 56 MPH IN A POSTED 30 MPH ZONE
492,OWNER FAILURE TO SURENDER REG EVIDENCES WITHIN 48 HOURS AFTER NOTICE OF SUSPENSION
493,EXCEEDING MAXIMUM SPEED 74 MPH IN A POSTED 50 MPH ZONE
494,DRIVING ATT TO DRIVE VEH WHILE SO FAR IMPAIRED BY DRUGS DRUGS ALCO CANNOT DRIVE SAFELY
495,EXCEEDING POSTED MAXIMUM SPEED LIMIT 84 MPH IN A POSTED 55 MPH ZONE
496,DRIVER TURNING VEHICLE WITHOUT GIVING APPROPRIATE SIGNAL AS REQUIRED
497,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEHDAMAGEPROPERTY DAMAGE
498,DRIVING WHILE LIC SUSP UNDER 16206A2 FAIL TO ATTEND DIP
499,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 26206
500,EXCEEDING POSTED MAXIMUM SPEED LIMIT 62 MPH IN A POSTED 30 MPH ZONE
501,EXCEEDING MAXIMUM SPEED 74 MPH IN A POSTED 45 MPH ZONE
502,FAILURE TO EQUIP MOTOR VEH WITH ADEQUATE VISION OUTSIDE MIRROR
503,FAIL TO RETURN SUSP REG PLATE
504,FAILURE OF VEH DRIVER TO FURNISH REQD WRITTEN IDINFOINON UNATTENEDED DAMAGED VEHICLE
505,EXCEEDING POSTED MAXIMUM SPEED LIMIT 65 MPH IN A POSTED 50 MPH ZONE
506,EXCEEDING MAXIMUM SPEED 63 MPH IN A POSTED 45 MPH ZONE
507,EXCEEDING MAXIMUM SPEED 71 MPH IN A POSTED 55 MPH ZONE
508,FAILURE TO STOP WHEN ENTERING HIGHWAY
509,KNOWINGLY DRIVING INSURED VEHICLE
510,DRIVER WRITING AN ELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
511,DRIVING VEH ON HWY WITH CANCELLED REG
512,ALLOWING VEH TO BE DRIVEN ON HWY WITH REVOKED REGISTRATION
513,MOTOR VEH WO REQUIRED STOP LAMPS EQUIPMENT
514,EXCEEDING POSTED MAXIMUM SPEED LIMIT 41 MPH IN A POSTED 25 MPH ZONE
515,EXCEEDING MAXIMUM SPEED 72 MPH IN A POSTED 60 MPH ZONE
516,DRIVING VEHICLE WHILE UNDERTHE INFLUENCE OF ALCOHOL
517,EXCEEDING POSTED MAXIMUM SPEED LIMIT 69 MPH IN A POSTED 45 MPH ZONE
518,PARKING VEH WITHIN 20 FEET OF CROSSWALK
519,OPERATING MOTOR SCOOTER WO WEARING REQUIRED HEADGEAR PROTECTION
520,ISSUED TO ANOTHER VEH
521,EXCEEDING MAXIMUM SPEED 66 MPH IN A POSTED 50 MPH ZONE
522,OWNER KNOWINGLY PERMITTING TO BE DRIVEN UNINSURED VEHICLE
523,DRIVING VEH W TVTYPE RECEIVING EQUIP THAT IS ON AND VISIBLE TO THE DRIVER ON HWY
524,EXCEEDING POSTED MAXIMUM SPEED LIMIT 67 MPH IN A POSTED 45 MPH ZONE
525,FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED VEHICLE DAMAGE ACCIDENT
526,OPERATION OF EXTENDED SIDE LOAD CARRYING VEH WO REQUIRED RED FLAGS DISPLAY
527,EXCEEDING POSTED MAXIMUM SPEED LIMIT 68 MPH IN A POSTED 40 MPH ZONE
528,EXCEEDING MAXIMUM SPEED 82 MPH IN A POSTED 50 MPH ZONE
529,MODIFYING EXHAUST SYSTEM ON MOTOR VEH CAUSING EXCESSIVE NOISE EMISSION
530,DRIVER FAILURE TO EXERCISE DUE CARE TO AVOID PEDESTRIAN COLLISION
531,EXCEEDING POSTED MAXIMUM SPEED LIMIT 70 MPH IN A POSTED 50 MPH ZONE
532,COMPULSORY INSURANCE
533,EXCEEDING MAXIMUM SPEED 65 MPH IN A POSTED 40 MPH ZONE
534,DRIVER FAILURE TO YIELD RIGHTOFWAY TO VEH UPON EMERGING FROM DRIVEWAY
535,DRIVING MOTOR VEH WHILE LIC SUSPENDED IN OTHER STATE FOR FAILURE TO APPEARFAILURE TO PAY FINE
536,FAILURE TO STOP AFTER ACCIDENT INVOLVING DAMAGE TO ATTENDED PROPERTY
537,FAIL TO TRANSPORT CHILD UNDER AGE 16 IN CHILD SAFTEY SEAT PER INSTRUCTIONS
538,EXCEEDING MAXIMUM SPEED 75 MPH IN A POSTED 40 MPH ZONE
539,EXCEEDING POSTED MAXIMUM SPEED LIMIT 56 MPH IN A POSTED 35 MPH ZONE
540,EXCEEDING POSTED MAXIMUM SPEED LIMIT 70 MPH IN A POSTED 45 MPH ZONE
541,DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE TO OTHER PERSON
542,FAILURE TO IMMEDIATELY RETURN AND REMAIN AT SCENE OF ACCIDENT INVOLVING BODILY INJURY
543,FAILURE OF VEH ON HWY TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICES IN UNFAVORABLE VISIBILITY COND
544,DRIVING VEH WHILE SO FAR IMPAIRED BY DRUGS AND ALCOHOL CANNOT DRIVE SAFELY
545,EXCEEDING MAXIMUM SPEED 65 MPH IN A POSTED 45 MPH ZONE
546,FAILURE TO STOP AFTER ACCIDENT INVOLVING DAMAGE TO ATTENDED VEHICLE
547,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 35 MPH
548,FAILURE OF VEH DRIVER TO FURNISH REQD WRITTEN IDINFOINON UNATTENEDED DAMAGED VEH
549,OPER MV WITH OPERATOR OCCUPANT UNDER AGE 16 NOT RESTRAINED BY SEATBELT CHILD SAFETY SEAT
550,EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 45 MPH ZONE
551,PERSON DRIVING REG MOTOR VEH ON HWY WO REQUIRED SAFETY GLASS EQUIPMENT
552,EXCEEDING MAXIMUM SPEED 65 MPH IN A POSTED 55 MPH ZONE
553,DRIVING VEHICLE ON HIGHWAY ON EXPIRED LICENSE
554,EXCEEDING POSTED MAXIMUM SPEED LIMIT 53 MPH IN A POSTED 35 MPH ZONE
555,DRIVING WO CURRENT TAGS
556,DRIVER READING TEXTELECTRONICMSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
557,FAIL VEH DRIVER IN ACCTO RPTBODILY INJATTENDED VEH DAMAGEPROP DAMAGETO NEAREST POLICE
558,DRIVING MOTOR VEH IN MANNER INTENDED TO CAUSE EXCESSIVE NOISE
559,DRIVER FAIL TO MAKE REQUIRED STOP AT PAVEMENT MARK
560,DRIVING WHILE LIC SUSP UNDER 16203 16206A2 17106 26204206 27103
561,PERSON DRIVING MOTOR VEH ON HWY ON SUSPENDED OUT OF STATE LIC
562,EXCEEDING MAXIMUM SPEED 43 MPH IN A POSTED 30 MPH ZONE
563,FAILURE TO RETURN TO REMAIN AT SCENE OF ACCIDENTINVOLVING ATTENDED VEHICLE DAMAGE
564,EMERGENCY BRAKING SYSTEM NOT OPERATING PROPERLY
565,SUSP
566,EXCEEDING MAXIMUM SPEED 45 MPH IN A POSTED 25 MPH ZONE
567,DRIVER FAILURE TO STOP BEFORE ENTERING HWY FROM PRIVATE ROAD
568,USE TEXT MSG DEVICE WHILE DRIVING CAUSE ACCIDENT DIR RESULT SERIOUS BODILY INJURY OF PERSON
569,DRIVER FAIL TO YIELD INTERSECTION RIGHTOFWAY TO PEDESTRIAN AFTER TURN ON RED
570,EXCEEDING MAXIMUM SPEED 70 MPH IN A POSTED 50 MPH ZONE
571,EXCEEDING MAXIMUM SPEED 60 MPH IN A POSTED 35 MPH ZONE
572,EXCEEDING MAXIMUM SPEED 57 MPH IN A POSTED 30 MPH ZONE
573,PARKING UNREGISTERED MOTOR VEHICLE
574,OWNER FAILURE TO APPLY TO ADM FOR REG OF VEH SUBJECT TO REG
575,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS
576,EXCEEDING POSTED MAXIMUM SPEED LIMIT 56 MPH IN A POSTED 40 MPH ZONE
577,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 57 IN 40
578,EXCEEDING MAXIMUM SPEED 60 MPH IN A POSTED 30 MPH ZONE
579,KNOWINGLY HOLDING FALSIFIED VEH REG PLATE
580,DRIVE VEH WHILE UNDER INFLUENCE OF ALCOHOL WHILE TRANSP MINOR
581,PERSON DRIVING MOTOR VEH ON HWY WO TIRES IN SAFE OPERATING CONDITION AS REQUIRED BY ADM
582,FAIL VEH DRIVER IN ACCTO RPT DAMAGEPROP DAMAGETO NEAREST POLICE
583,TAKING VEH WO OWNERS CONSENT WITH INTENT TO DEPRIVE OWNER
584,KNOWINGLY PERMITTING UNAUTHORIZED USE OF REG PLATE
585,OPERATING A MOTOR SCOOTER ON HWY WO REQ LICENSE OR PERMIT
586,EXCEEDING MAXIMUM SPEED 41 MPH IN A POSTED 30 MPH ZONE
587,EXCEEDING MAXIMUM SPEED 55 MPH IN A POSTED 45 MPH ZONE
588,EXCEEDING POSTED MAXIMUM SPEED LIMIT 50 MPH IN A POSTED 35 MPH ZONE
589,EXCEEDING POSTED MAXIMUM SPEED LIMIT 60 MPH IN A POSTED 45 MPH ZONE
590,EXCEEDING MAXIMUM SPEED 68 MPH IN A POSTED 45 MPH ZONE
591,FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDEDVEH OF DAMAGE
592,EXCEEDING POSTED MAXIMUM SPEED LIMIT 35 MPH IN A POSTED 25 MPH ZONE
593,J
594,DRIVING MV WI 12 HOURS AFTER ARREST FOR VIOL OF TR 21902 CR TITLE 2 SUBTITLE 5 CR 3211
595,FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH
596,DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK NOT CONTRIBUTING TO ACCIDENT
597,EXCEEDING MAXIMUM SPEED 86 MPH IN A POSTED 55 MPH ZONE
598,EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 25 MPH ZONE
599,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 9055
600,EXCEEDING MAXIMUM SPEED 40 MPH IN A POSTED 35 MPH ZONE
601,EXCEEDING POSTED MAXIMUM SPEED LIMIT 64 MPH IN A POSTED 40 MPH ZONE
602,OPERATING UNREGISTERED MOTOR VEHICLE
603,DRIVING WHILE LIC SUSP UNDER 5806
604,DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPS OR FOG LIGHTS WHILE OPERATING WINDSHIELD WIPERS
605,DRIVING ON UNOPENED ROADWAY
